,문서 번호,제목,질문,위치 고유번호,위치,조회수,질문 날짜
0,475395637,질문미아사거리 놀 곳 어디 있는지 알려주세요,곳 가는데 갈 곳이 없어서요ㅜ 부탁드려요,011701,서울특별시 강북구 미아동 , 46,2024.09.15
1,476706618,질문캠퍼스타운역에서 만수역까지 가는 방법을 알려주세요.,제목이 곧 내용입니다,040607,인천광역시 남동구 만수동 , 18,2024.10.17
2,475351028,질문고양종합운동장 근처 포토이즘,고양종합운동장 근처에 포토이즘 있나요? 있다면 지점명 알려주세요! 콘서트 가는김에 응원봉이나 굿즈 들고 찍고싶어요,09050102,경기도 고양시 덕양구 고양동 , 113,2024.09.14
3,475395637,질문미아사거리 놀 곳 어디 있는지 알려주세요,곳 가는데 갈 곳이 없어서요ㅜ 부탁드려요,011701,서울특별시 강북구 미아동 , 46,2024.09.15
4,476706618,질문캠퍼스타운역에서 만수역까지 가는 방법을 알려주세요.,제목이 곧 내용입니다,040607,인천광역시 남동구 만수동 , 18,2024.10.17
5,475351028,질문고양종합운동장 근처 포토이즘,고양종합운동장 근처에 포토이즘 있나요? 있다면 지점명 알려주세요! 콘서트 가는김에 응원봉이나 굿즈 들고 찍고싶어요,09050102,경기도 고양시 덕양구 고양동 , 113,2024.09.14
6,476683768,질문역삼역의 특징,은 무엇인가요,011510,서울특별시 강남구 역삼동 , 22,2024.10.17
7,476654087,질문역삼 한의원 본디 점심시간 있나요?,최근 잦은 야근으로 어깨 통증이 있어 한의원에 침을 맞으러 가려고 합니다. 12시쯤에 방문할 예정인데 역삼 한의원 본디 점심시간 있나요? 있다면 몇 시부터 몇 시까지인지 알려주세요.,011510,서울특별시 강남구 역삼동 , 9,2024.10.15
8,476609135,질문강남 묻지마 살인사건,8년전에 신논현역 주변 오래된 상가외부 남녀공용화장실에서 묻지마 살인사건이 일어났었잖아요? 혹시 8년이 지난 현재에도 신논현역 근처 오래된 상가외부에 남녀공용화장실이 많이 남아있나요?,011510,서울특별시 강남구 역삼동 , 17,2024.10.14
9,476604003,질문서울 파스타 맛집 치스타리에 강남역점 주차장 있나요?,"서울 파스타 맛집 치스타리에 강남역점에서 식사를 할 예정인데 여기는 주차를 어디에 하나요? 전용 주차장이 있는지, 주차권을 주시는지, 주차요금은 얼마인지 등 주차 정보 좀 알려주세요.",011510,서울특별시 강남구 역삼동 , 10,2024.10.14
10,476683768,질문역삼역의 특징,은 무엇인가요,011510,서울특별시 강남구 역삼동 , 22,2024.10.17
11,476654087,질문역삼 한의원 본디 점심시간 있나요?,최근 잦은 야근으로 어깨 통증이 있어 한의원에 침을 맞으러 가려고 합니다. 12시쯤에 방문할 예정인데 역삼 한의원 본디 점심시간 있나요? 있다면 몇 시부터 몇 시까지인지 알려주세요.,011510,서울특별시 강남구 역삼동 , 10,2024.10.15
12,476609135,질문강남 묻지마 살인사건,8년전에 신논현역 주변 오래된 상가외부 남녀공용화장실에서 묻지마 살인사건이 일어났었잖아요? 혹시 8년이 지난 현재에도 신논현역 근처 오래된 상가외부에 남녀공용화장실이 많이 남아있나요?,011510,서울특별시 강남구 역삼동 , 18,2024.10.14
