문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
481112718,질문압구정 놀거리 추천,남자 3 여자 2 이제 중 3올라가는데 일요일에 2/2 에 가기로했어요 애들이 계획 안짜고 그냥 가서 놀자는데 좀 불난해서 저라도 뭐 찾아놓으려구요ㅜㅜ 일산 고양시에서 출발하고 중3 학생들이 놀만란곳 추천해주세요ㅜㅜ많이 부탁드려요!! 다 옷보는것도 좋아하고 전시회 이런대도 좋아하는데 학생들이라 가격이 비싸지 않았으면 좋겠어요!!,120115, 28,2025.01.30
480890709,질문인천 수인분당선 질문,압구정로데역 근처 사는 데 이번에 인천 가야하는데 수인분당선 타고 한 번에 갈 수 있나요?,120115, 19,2025.01.24
480615295,질문서울 집값 TOP 10,압구정 반포 이촌 한남 역삼 잠원 여의도 청담 성수 잠실 TOP 3 으로 따지자면 압구정 반포 한남 인가요??,120115, 61,2025.01.19
480601753,질문자취 지역 추천,직장이 압구정로데오역 근방입니다 서울권에선 거주 경험이 없어서 이 근방으로 40분 내외로 출근이 가능하며 강남권 보다는 집값이 저렴한 역이 있을까요 추천부탁드랴용~,120115, 31,2025.01.18
480500944,질문압구정로데오역 종로3가역 근처 놀거리,오전엔 압구정로데오역에 있다가 낮쯤에 종로3가역으로 넘어갈 예정인데 각각 근처 맛집이랑 대학생 데이트코스 추천해주세요!,120115, 266,2025.01.16
480485617,질문꿈해몽 부탁드립니다,제가 차를타고 가는데 앞을보니 건물들로 막혀있어 여기가 끝이네 하고 좌측을보니 또다른 도로가있어 그길을타고 앞을 쭈욱보니 큰산이보이고 그산정상으로가는 도로였습니다 꿈해몽 부탁드립니다,120115, 35,2025.01.16
480336721,질문광주 압구정앤 성형외과의원 주차장...,광주 압구정앤 성형외과의원 주차장 없나요? 찾아봐도 안보여서요 ㅠㅠ 빠른답변부탁드려요 급해요 ㅠㅠ,120115, 50,2025.01.13
479985062,질문압구정로데오 근처 종이신문 파는 곳 있어요?,압구정로데오역 근처 종이신문 파는 곳 있어요?,120115, 55,2025.01.05
479816024,질문압구정카페?,어디일까요?,120115, 27,2025.01.01
479412264,질문여기 라운지 어디 인가요,압구정로데오 신서쪽 클럽라운지인대 어디인가요,120115, 28,2024.12.21
479360529,질문강남 스케줄 청담,압구정로데오역 근처에 있는 스케줄청담 제가 연말에 거길 처음 가는데요 예약을 못하면 앉지 못할까요? 연말이라 사람이많을거같기도 한데 리뷰들 보면 그냥 예약 안한 사람들도 많길래요 거기가 원래 사람이 많은곳인가요? 예약을 ㅁ해야될까요?,120115, 79,2024.12.20
479321661,질문신사ㆍ압구정ㆍ논현ㆍ반포 얼굴경락 잘하곳 알려주세요?,나이들어가며 피부가 쳐지고 땅콩형얼굴ㆍ네모가 되어가는 얼굴 땜에 고민되어서 ㆍ신사 ㆍ반포 ㆍ압구정 위치에 얼굴경락마사지 잘 하는곳 있음 알려주세요~??? 반포쪽 피부관리 받았는데 동네라 그런지 별루여서 신사쪽이 걸어서 갈수 있어 찾고 있구요 압구정ㆍ논현도 한정거장이라 전철에서 가까우면 좋을것 같아요 경락마사지로 얼굴예뻐진다는데 그말이 사실인가요~? 수술은 무섭고 너무 인위적이라 표가 나니까 얼굴선 자연스럽게 정리하고 피부관리 받고싶어요 #신사피부관리#반포피부관리#압구정피부관리#논현피부관리#신사마사지#신사얼굴경락#신사얼굴윤곽 #압구정 경락마사지#신사겅락마사지,120115, 106,2024.12.19
479003910,질문압구정 놀러갈 때,고등학생입니다 친구들이랑 압구정에서 만나기로 약속을 잡았는데 조용한 서울 변두리에서 살다가 그런 삐까뻔쩍한 강남까지 가려니 쫌 쫄려서요ㅎㅎ 어떻게 해야 촌뜨기처럼 안보이고 다닐 수 있을까용?,120115, 34,2024.12.11
