문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
485600327,질문버스정류장 노선에서 역방향? 승차에대해서 질문입니다.,버스 노선 중에 끝 부분에 가면 한방향으로만 돌아가는 노선이 있습니다. 예를들어서 저는 파주쪽에 살고 있는데 버스가 서대문쪽에서 광화문을 돌아서 서울역앞으로해서 다시 서대문쪽으로 돌아나가는 식입니다. 버스 배차시간이 어차피 길기도하고 대기시간도 만만치않아서 놓칠것 같거나 아니면 앉아서 가야겠다고 생각하고 아예 독립문쪽이나 영천시장쪽에서 역방향으로 버스를 타는 경우가 있습니다. 어차피 서서 2~30분 기다리나 역방향 버스타고 안전하게 앉아서 돌아서 나가나 차이가 없을것 같아서요. 그런데 버스 운전기사분이 몇번이나(한분이 여러번이 아니고 여러 버스기사분이 다른 시간에 몇번에 걸쳐) 그렇게 타면 안된다고 차를 세워서까지 저에게 뭐라고 하는 경우가 있었습니다. (불같이 화내시는 분도 있었습니다.) 이런 경우가 이 버스 말고도 몇 번 있었는데 보통 들어갔다가 돌아나오는 곳에서 들어가는 위치에서 타서 갈 때 그런 경우가 종종 있었는데 제가 잘 몰라서요. 이게 그렇게 큰 잘못인지 아니면 어떤 문제가 생기기 때문에 그런 것인지 몰라서 여쭈어봅니다.,120115, 44,2025.05.27
485599986,질문삼성역피부과 알아보고있어요,최근 나이가 들어가면서 피부 처짐이 고민이여서 삼성역 피부과 알아보고있어요 공장형은 안될거같고.. 경력 오래된곳으로 알려주시면 감사할거 같구요. 회사 근처가 이쪽인데 집근처까지 가는건 답이없을거같고 저녁 6시 넘어도 하는 삼성역피부과 정보 부탁드립니다.,120115, 34,2025.05.27
485542579,질문승무원 학원,강남 크루팩토리랑 강남 코리아승무원학원 어디가 더 좋을까요? 각 학원의 장단점과 두 학원의 차이점 알려주세요 !! 더 추천하는 학원도요 홍보글 말고 직접 다녀보신 분들이 말씀해주세요 !,120115, 59,2025.05.26
485523905,질문나고야역에서 마쓰모토역까지 가는 방법 알려주세요,안녕하세요 나고야역에서 마쓰모토역까지 가는 방법 알려주실 수 있을까요 제일 빠른 방법으로 알려주세요!,120115, 24,2025.05.26
485559307,질문압구정..선릉..역삼….네일샵오픈위치,제가 곧 네일샵 오픈예정ㅇㄴ데 세가지 지역중 너무고민입니다… 매물도 세가지지역에서 고민이구요…. 아묻따 부촌 압구정을가야하는건지.. 유동인구 직장인 많은 선릉역삼인지… 일순위 이순위 알러주시면 감사합니드 ㅠㅠㅠ 압구정역8분거리 선릉역1분거리 역삼역7분거리,120115, 12,2025.05.26
485549807,질문어디가 더 잘사는 건가요?,강남에 신현대 60평대 1채 실거주는 여의도 리첸시아 60평대 Vs 강남에 청담동에 작은 아파트 30평대 실거주는 목동아파트 9단지 60평대 둘다 대출없음,120115, 17,2025.05.25
485421992,질문강남 스포츠/레저,수학여행으로 강남 가는데 스타필드 스포츠몬스터같은 재밌게 놀 곳 없나요ㅠㅠ 제발 알려주세요,120115, 45,2025.05.25
485528450,질문강남 제로월드를 가기로 햇는데여..,제로월드 콜러 테마를 가기로 했는데..6명이서 플레이해도 진행에 무리 없나요..?(너무 좁다거나..) 그리고 옛날에 링은 해봤는데..탈출은 못하고 80%..?정도 했는디 링보다 많이 무서운가요? 무서운 결이 다른가..ㅋㅋㅋ,120115, 59,2025.05.25
485520309,질문광역버스 4402,안성에서 강남으로 가는 광역버스 4402 안에 충전기 꽂을 수 있는 곳 있나요?,120115, 20,2025.05.24
485518308,질문서울강남수원 여자문의,여기 서울이나강남이나수원 여기서 어디 무슨곳에가야 헌팅 잘되고 어디가 주로 예쁜여자들이 많은지 그리고 이쁜여자들꼬시는 방법을알고싶습니다.,120115, 18,2025.05.24
