지명,지역 코드,SDI_평균_그룹
서울특별시 서초구,120129,1
서울특별시 강남구,120115,1
서울특별시 중구,120138,1
서울특별시 영등포구,120134,1
경기도 과천시,120906,1
서울특별시 용산구,120135,1
서울특별시 종로구,120137,1
경기도 성남시,120915,1
서울특별시 송파구,120132,1
서울특별시 마포구,120127,1
서울특별시 성동구,120130,1
서울특별시 강서구,120118,1
서울특별시 강동구,120116,1
경기도 수원시,120916,1
서울특별시 금천구,120122,1
경기도 용인시,120923,1
서울특별시 광진구,120120,1
서울특별시 관악구,120119,1
서울특별시 동작구,120126,1
인천광역시 중구,120411,1
경기도 화성시,120931,1
서울특별시 서대문구,120128,1
서울특별시 동대문구,120125,2
서울특별시 구로구,120121,2
경기도 하남시,120930,2
경기도 김포시,120911,2
경기도 파주시,120927,2
서울특별시 양천구,120133,2
경기도 의왕시,120924,2
경기도 고양시,120905,2
경기도 안양시,120920,2
경기도 평택시,120928,2
경기도 이천시,120926,2
서울특별시 중랑구,120139,2
경기도 안산시,120918,2
인천광역시 연수구,120410,2
경기도 군포시,120910,2
서울특별시 성북구,120131,2
서울특별시 노원구,120123,2
경기도 안성시,120919,2
경기도 광명시,120907,2
서울특별시 은평구,120136,2
경기도 오산시,120922,2
경기도 구리시,120909,2
인천광역시 남동구,120406,3
인천광역시 서구,120409,3
경기도 시흥시,120917,3
서울특별시 강북구,120117,3
인천광역시 부평구,120408,3
경기도 부천시,120914,3
경기도 남양주시,120912,3
경기도 양주시,120921,3
인천광역시 동구,120407,3
경기도 포천시,120929,3
경기도 광주시,120908,3
경기도 의정부시,120925,3
경기도 가평군,120932,3
서울특별시 도봉구,120124,3
경기도 연천군,120935,3
경기도 동두천시,120913,3
인천광역시 옹진군,120413,3
경기도 양평군,120933,3
경기도 여주시,120934,3
인천광역시 계양구,120404,3
인천광역시 강화군,120412,3
